Timestamp_ms,Point_Index,X,Y,Next_X,Next_Y,Screen_Width,Screen_Height
1742479553320,0,"[122, 50]","[194, 220]",1920,1080
1742479553834,1,"[194, 220]","[266, 50]",1920,1080
1742479554349,2,"[266, 50]","[338, 220]",1920,1080
1742479554880,3,"[338, 220]","[410, 50]",1920,1080
1742479555390,4,"[410, 50]","[482, 220]",1920,1080
1742479555909,5,"[482, 220]","[554, 50]",1920,1080
1742479556426,6,"[554, 50]","[626, 220]",1920,1080
1742479556959,7,"[626, 220]","[698, 50]",1920,1080
1742479557476,8,"[698, 50]","[770, 220]",1920,1080
1742479557989,9,"[770, 220]","[842, 50]",1920,1080
1742479558516,10,"[842, 50]","[914, 220]",1920,1080
